YARN ID,YARN NAME,YARN COMPOSITION,BLEND RATIO,YARN COUNT,COUNT SYSTEM,YARN TYPE,YARN FORM,TPI,YARN FINISH,COLOR,DYE TYPE,UoM,REMARKS,,
Y018,Modal Cotton,Modal/Cotton,50:50:00,30/1,Sa,Combed,Spun,18,Softener,White,Yarn Dyed,LBS,Soft drape,,
Y019,Alpaca Blend,Alpaca/Wool,31:10:00,2/24,Nm,Carded,Spun,11,Raw,Brown,Yarn Dyed,LBS,Hairy effect,,
Y020,Cotton Lycra,Cotton/Elastane,95:5,40D,Denier,Core Spun,Spun,20,Raw,White,Yarn Dyed,KG,Stretch rib,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Fabric ID,Fabric Name,Category,Type,Construction,Weave/Knit,GSM,Gauge/EPI,Width,Stretch,Shrink,Finish,Composition,Handfeel,UoM,Remarks
F001,Cotton Single Jersey,Knitted,Jersey,Plain,Knit,160,12GG,170,25,4,Enzyme,100% Cotton,Soft,KG,T-shirt
F002,Wool Rib 1x1,Knitted,Rib,1x1 Rib,Knit,240,7GG,150,35,6,Washed,100% Wool,Bulky,Meter,Sweater
F003,Interlock Cotton,Knitted,Interlock,Interlock,Knit,200,12GG,160,22,4,Silicone,Cotton,Smooth,KG,Polo
F004,French Terry,Fleece,Terry,Loop Back,Knit,260,10GG,170,30,5,Enzyme,Cotton,Soft,Meter,Hoodie
F005,Polar Fleece,Fleece,Fleece,Brushed,Knit,280,8GG,165,40,4,Anti-pill,Polyester,Warm,KG,Jacket
F006,Cotton Twill,Woven,Twill,3/1 Twill,Weave,240,108 EPI,150,5,3,Peached,Cotton,Firm,Meter,Chino
F007,Cotton Poplin,Woven,Poplin,Plain,Weave,120,120 EPI,150,3,2.5,Calendar,Cotton,Crisp,KG,Shirt
F008,Denim Indigo,Denim,Denim,3/1 RHT,Weave,340,72 EPI,150,8,3,Rinse,Cotton,Rigid,Meter,Jeans
F009,Stretch Denim,Denim,Denim,3/1 Twill,Weave,360,70 EPI,150,20,3,Enzyme,Cotton/Elastane,Stretch,KG,Slim jeans
F010,Viscose Challis,Woven,Challis,Plain,Weave,140,110 EPI,145,6,4,Bio Polish,Viscose,Flowing,Meter,Dress
F011,Polyester Taffeta,Woven,Taffeta,Plain,Weave,90,95 EPI,150,2,1.5,PU Coat,Polyester,Crisp,KG,Lining
F012,Non-Woven PP,Non-Woven,Spunbond,Bonded,Non-woven,60,NA,160,1,1,None,Polypropylene,Paper-like,Meter,Mask
F013,Artificial Leather,Leather,PU Leather,Coated,Coated,420,NA,140,10,2,PU Coated,PU/Poly,Smooth,KG,Bag
F014,Lace Fabric,Lace,Lace,Net,Warp Knit,110,28GG,145,15,4,Softener,Nylon,Delicate,Meter,Fashion
F015,Mesh Fabric,Technical,Mesh,Open Net,Knit,140,24GG,160,35,3,Heat Set,Polyester,Airy,KG,Sports
F016,Waterproof Fabric,Technical,Laminated,3-Layer,Woven,180,110 EPI,150,5,2,TPU Lamination,Polyester,Firm,Meter,Outdoor
F017,Towel Terry,Terry,Terry,Loop Pile,Weave,450,90 EPI,160,6,7,Soft Wash,Cotton,Plush,KG,Towel
F018,Velour Knit,Knitted,Velour,Cut Pile,Knit,300,10GG,160,30,5,Brushed,Cotton/Poly,Rich,Meter,Tracksuit
F019,Ottoman Rib,Knitted,Ottoman,Ribbed,Knit,320,7GG,150,22,5,Silicone,Cotton/Poly,Structured,KG,Fashion
F020,Georgette,Woven,Georgette,Crepe,Weave,110,100 EPI,140,8,4,Soft Wash,Polyester,Sheer,Meter,Ladies wear
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Product ID,Product Name,Category,Sub-Category,UoM,Consumable Flag,Remarks,,,,,,,,,
P0001,Sewing Thread Variant 1,Threads,Sewing Thread,Cone/Spool,Consumable,,,,,,,,,,
P0002,Overlock Thread Variant 2,Threads,Overlock Thread,Cone/Spool,Consumable,,,,,,,,,,
P0003,Coverstitch Thread Variant 3,Threads,Coverstitch Thread,Cone/Spool,Consumable,,,,,,,,,,
P0004,Embroidery Thread Variant 4,Threads,Embroidery Thread,Cone/Spool,Consumable,,,,,,,,,,
P0005,Bobbin Thread Variant 5,Threads,Bobbin Thread,Cone/Spool,Consumable,,,,,,,,,,
P0006,Button Variant 6,Buttons & Fasteners,Button,Piece,Non-Consumable,,,,,,,,,,
P0007,Snap Button Variant 1,Buttons & Fasteners,Snap Button,Piece,Non-Consumable,,,,,,,,,,
P0008,Hook & Eye Variant 2,Buttons & Fasteners,Hook & Eye,Piece,Non-Consumable,,,,,,,,,,
P0009,Zipper Variant 3,Buttons & Fasteners,Zipper,Piece,Non-Consumable,,,,,,,,,,
P0010,Velcro Variant 4,Buttons & Fasteners,Velcro,Piece,Non-Consumable,,,,,,,,,,
P0011,Drawstring Variant 5,Buttons & Fasteners,Drawstring,Piece,Non-Consumable,,,,,,,,,,
P0012,Buckles/Rings Variant 6,Buttons & Fasteners,Buckles/Rings,Piece,Non-Consumable,,,,,,,,,,
P0013,Waist Elastic Variant 1,Elastic & Ribbing,Waist Elastic,Meter,Consumable,,,,,,,,,,
P0014,Sleeve/Collar Rib Variant 2,Elastic & Ribbing,Sleeve/Collar Rib,Meter,Consumable,,,,,,,,,,
P0015,Drawcord Elastic Variant 3,Elastic & Ribbing,Drawcord Elastic,Meter,Consumable,,,,,,,,,,
P0016,Twill Tape Variant 4,Elastic & Ribbing,Twill Tape,Meter,Consumable,,,,,,,,,,
P0017,Main Label Variant 5,Labels & Tags,Main Label,Piece,Non-Consumable,,,,,,,,,,
P0018,Size Label Variant 6,Labels & Tags,Size Label,Piece,Non-Consumable,,,,,,,,,,
P0019,Care Label Variant 1,Labels & Tags,Care Label,Piece,Non-Consumable,,,,,,,,,,
P0020,Price Tag/Hang Tag Variant 2,Labels & Tags,Price Tag/Hang Tag,Piece,Non-Consumable,,,,,,,,,,
P0021,Barcode Sticker Variant 1,Labels & Tags,Barcode Sticker,Piece,Non-Consumable,,,,,,,,,,
P0022,Brand Patch Variant 5,Labels & Tags,Brand Patch,Piece,Non-Consumable,,,,,,,,,,
P0023,Woven Fusing Variant 1,Interlining/Fusings,Woven Fusing,Meter,Non-Consumable,,,,,,,,,,
P0024,Non-Woven Fusing Variant 5,Interlining/Fusings,Non-Woven Fusing,Meter,Non-Consumable,,,,,,,,,,
P0025,Fusible Tape Variant 1,Interlining/Fusings,Fusible Tape,Meter,Non-Consumable,,,,,,,,,,
P0026,Poly Bag Variant 5,Packing Materials,Poly Bag,Piece,Non-Consumable,,,,,,,,,,
P0027,Carton Variant 1,Packing Materials,Carton,Piece,Non-Consumable,,,,,,,,,,
P0028,Tissue Paper Variant 5,Packing Materials,Tissue Paper,Sheet,Non-Consumable,,,,,,,,,,
P0029,Silica Gel Variant 1,Packing Materials,Silica Gel,Packet,Non-Consumable,,,,,,,,,,
P0030,Polybag Sticker Variant 5,Packing Materials,Polybag Sticker,Piece,Non-Consumable,,,,,,,,,,
P0031,Hanger Variant 1,Packing Materials,Hanger,Piece,Non-Consumable,,,,,,,,,,
P0032,Rubber Band Variant 5,Packing Materials,Rubber Band,Piece,Non-Consumable,,,,,,,,,,
P0033,Screen Printing Ink Variant 1,Printing & Embellishments,Screen Printing Ink,KG,Non-Consumable,,,,,,,,,,
P0034,Heat Transfer Variant 5,Printing & Embellishments,Heat Transfer,Piece,Non-Consumable,,,,,,,,,,
P0035,Embroidery Thread Variant 1,Printing & Embellishments,Embroidery Thread,Cone,Non-Consumable,,,,,,,,,,
P0036,Rhinestones/Beads Variant 5,Printing & Embellishments,Rhinestones/Beads,Piece,Non-Consumable,,,,,,,,,,
P0037,Foil/Glitter Variant 1,Printing & Embellishments,Foil/Glitter,Meter,Non-Consumable,,,,,,,,,,
P0038,Applique/Patch Variant 5,Printing & Embellishments,Applique/Patch,Piece,Non-Consumable,,,,,,,,,,
P0039,Enzyme Variant 1,Wash & Chemicals,Enzyme,KG,Consumable,,,,,,,,,,
P0040,Silicone Softener Variant 5,Wash & Chemicals,Silicone Softener,KG,Consumable,,,,,,,,,,
P0041,Dye Variant 1,Wash & Chemicals,Dye,KG,Consumable,,,,,,,,,,
P0042,Bleach Variant 5,Wash & Chemicals,Bleach,KG,Consumable,,,,,,,,,,
P0043,Finishing Chemicals Variant 1,Wash & Chemicals,Finishing Chemicals,KG,Consumable,,,,,,,,,,
P0044,Softener Variant 5,Wash & Chemicals,Softener,KG,Consumable,,,,,,,,,,
P0045,Sewing Needle Variant 1,Machine Consumables,Sewing Needle,Piece,Consumable,,,,,,,,,,
P0046,Bobbin Variant 5,Machine Consumables,Bobbin,Piece,Consumable,,,,,,,,,,
P0047,Oil/Lubricant Variant 1,Machine Consumables,Oil/Lubricant,Liter,Consumable,,,,,,,,,,
P0048,Cleaning Solvent Variant 5,Machine Consumables,Cleaning Solvent,Liter,Consumable,,,,,,,,,,
P0049,Size Clips Variant 1,Miscellaneous & Quality Items,Size Clips,Piece,Non-Consumable,,,,,,,,,,
P0050,Tag Pin Variant 5,Miscellaneous & Quality Items,Tag Pin,Piece,Non-Consumable,,,,,,,,,,
P0051,Metal Detector Test Piece Variant 1,Miscellaneous & Quality Items,Metal Detector Test Piece,Piece,Non-Consumable,,,,,,,,,,
P0052,Thread Cutter Variant 5,Miscellaneous & Quality Items,Thread Cutter,Piece,Non-Consumable,,,,,,,,,,
P0053,Polyethylene Sheet Variant 1,Miscellaneous & Quality Items,Polyethylene Sheet,Meter,Non-Consumable,,,,,,,,,,
P0054,Safety Gloves Variant 5,Miscellaneous & Quality Items,Safety Gloves,Pair,Non-Consumable,,,,,,,,,,
P0055,Aprons/Uniforms Variant 1,Miscellaneous & Quality Items,Aprons/Uniforms,Piece,Non-Consumable,,,,,,,,,,
